TID, Nice, Tick
5, 10, 452
5, 10, 452
10, 10, 454
10, 10, 455
10, 10, 456
10, 10, 456
10, 10, 457
10, 10, 458
10, 10, 459
10, 10, 460
10, 10, 461
10, 10, 462
10, 10, 463
10, 10, 464
10, 10, 465
10, 10, 466
10, 10, 467
10, 10, 468
10, 10, 469
10, 10, 470
10, 10, 471
10, 10, 472
10, 10, 473
10, 10, 474
10, 10, 475
10, 10, 476
10, 10, 477
10, 10, 478
10, 10, 479
10, 10, 480
10, 10, 481
10, 10, 482
10, 10, 483
10, 10, 484
10, 10, 485
10, 10, 486
10, 10, 487
10, 10, 488
10, 10, 489
10, 10, 490
10, 10, 491
10, 10, 492
10, 10, 493
10, 10, 494
10, 10, 495
10, 10, 495
10, 10, 496
10, 10, 497
10, 10, 498
10, 10, 499
10, 10, 500
10, 10, 501
10, 10, 502
10, 10, 503
5, 10, 507
7, -20, 507
7, -20, 508
10, 10, 509
11, -20, 513
10, 10, 513
11, -20, 517
10, 10, 517
11, -20, 521
10, 10, 521
11, -20, 525
10, 10, 525
11, -20, 529
10, 10, 529
11, -20, 533
10, 10, 533
11, -20, 537
10, 10, 537
11, -20, 541
10, 10, 541
11, -20, 545
10, 10, 545
11, -20, 549
10, 10, 549
11, -20, 553
10, 10, 553
11, -20, 557
10, 10, 557
11, -20, 561
10, 10, 561
11, -20, 565
10, 10, 565
11, -20, 569
10, 10, 569
11, -20, 573
10, 10, 573
11, -20, 577
10, 10, 577
11, -20, 581
10, 10, 581
11, -20, 585
10, 10, 585
11, -20, 589
10, 10, 589
11, -20, 593
10, 10, 593
11, -20, 597
10, 10, 597
11, -20, 601
10, 10, 601
11, -20, 605
10, 10, 605
11, -20, 609
10, 10, 609
11, -20, 613
10, 10, 613
11, -20, 617
10, 10, 617
11, -20, 621
10, 10, 621
11, -20, 625
10, 10, 625
11, -20, 629
10, 10, 629
11, -20, 633
10, 10, 633
11, -20, 637
10, 10, 637
11, -20, 641
10, 10, 641
11, -20, 645
10, 10, 645
11, -20, 649
10, 10, 649
11, -20, 653
10, 10, 653
11, -20, 657
10, 10, 657
11, -20, 661
10, 10, 661
11, -20, 665
10, 10, 665
11, -20, 669
10, 10, 669
11, -20, 673
10, 10, 673
11, -20, 677
10, 10, 677
11, -20, 681
10, 10, 681
11, -20, 685
10, 10, 685
11, -20, 689
10, 10, 689
11, -20, 693
10, 10, 693
11, -20, 697
10, 10, 697
11, -20, 701
10, 10, 701
11, -20, 705
10, 10, 705
11, -20, 709
10, 10, 709
11, -20, 713
7, -20, 717
11, -20, 717
11, -20, 961
7, -20, 962
7, -20, 964
10, 10, 965
4, 20, 1085
4, 20, 1085
10, 10, 1086
4, 20, 1090
12, 20, 1090
10, 10, 1091
12, 20, 1095
10, 10, 1095
12, 20, 1099
