TID, Nice, Tick
4, 0, 411
4, 0, 411
4, 0, 411
4, 0, 411
4, 0, 411
4, 0, 412
4, 0, 412
4, 0, 413
4, 0, 414
4, 0, 414
4, 0, 415
4, 0, 416
4, 0, 417
4, 0, 418
4, 0, 419
4, 0, 420
4, 0, 421
4, 0, 422
4, 0, 423
4, 0, 424
4, 0, 425
4, 0, 426
4, 0, 427
4, 0, 428
4, 0, 429
4, 0, 430
4, 0, 431
4, 0, 432
4, 0, 433
4, 0, 434
4, 0, 435
4, 0, 436
4, 0, 437
4, 0, 438
4, 0, 439
4, 0, 440
4, 0, 441
4, 0, 442
4, 0, 443
4, 0, 444
4, 0, 445
4, 0, 446
4, 0, 447
4, 0, 448
4, 0, 449
4, 0, 450
4, 0, 451
4, 0, 452
4, 0, 453
4, 0, 454
4, 0, 455
4, 0, 456
4, 0, 456
4, 0, 459
5, 0, 461
5, 0, 461
5, 0, 462
5, 0, 463
5, 0, 464
5, 0, 465
5, 0, 466
5, 0, 467
5, 0, 468
5, 0, 469
5, 0, 470
5, 0, 471
5, 0, 472
5, 0, 473
5, 0, 474
5, 0, 475
5, 0, 476
5, 0, 477
5, 0, 478
5, 0, 479
5, 0, 480
5, 0, 481
5, 0, 482
5, 0, 483
5, 0, 484
5, 0, 485
5, 0, 486
5, 0, 487
5, 0, 488
5, 0, 489
5, 0, 490
5, 0, 491
5, 0, 492
5, 0, 493
5, 0, 494
5, 0, 494
5, 0, 495
5, 0, 496
5, 0, 497
5, 0, 498
5, 0, 499
5, 0, 500
5, 0, 501
5, 0, 502
5, 0, 503
5, 0, 504
5, 0, 505
5, 0, 506
5, 0, 507
5, 0, 508
5, 0, 509
5, 0, 510
4, 0, 512
5, 0, 513
6, 0, 515
6, 0, 516
6, 0, 517
6, 0, 518
6, 0, 519
6, 0, 520
6, 0, 521
6, 0, 522
6, 0, 523
6, 0, 524
6, 0, 525
6, 0, 526
6, 0, 527
6, 0, 528
6, 0, 529
6, 0, 530
6, 0, 531
6, 0, 532
6, 0, 533
6, 0, 534
6, 0, 535
6, 0, 535
6, 0, 536
6, 0, 537
6, 0, 538
6, 0, 539
6, 0, 540
6, 0, 541
6, 0, 542
6, 0, 543
6, 0, 544
6, 0, 545
6, 0, 546
6, 0, 547
6, 0, 548
6, 0, 549
6, 0, 550
6, 0, 551
6, 0, 552
6, 0, 553
6, 0, 554
6, 0, 555
6, 0, 556
6, 0, 557
6, 0, 558
6, 0, 559
6, 0, 560
6, 0, 561
6, 0, 562
6, 0, 563
