TID, Nice, Tick
4, nice, 842
4, nice, 842
4, nice, 843
4, nice, 843
4, nice, 843
4, nice, 843
4, nice, 843
4, nice, 844
4, nice, 845
4, nice, 846
4, nice, 847
4, nice, 848
4, nice, 849
4, nice, 850
4, nice, 850
4, nice, 851
4, nice, 852
4, nice, 853
4, nice, 854
4, nice, 855
4, nice, 856
4, nice, 857
4, nice, 858
4, nice, 859
4, nice, 860
4, nice, 861
4, nice, 862
4, nice, 863
4, nice, 864
4, nice, 865
4, nice, 866
4, nice, 867
4, nice, 868
4, nice, 869
4, nice, 870
4, nice, 871
4, nice, 872
4, nice, 873
4, nice, 874
4, nice, 875
4, nice, 876
4, nice, 877
4, nice, 878
4, nice, 879
4, nice, 880
4, nice, 881
4, nice, 882
4, nice, 883
4, nice, 884
4, nice, 885
4, nice, 886
4, nice, 887
4, nice, 888
4, nice, 890
5, nice, 892
5, nice, 893
5, nice, 894
5, nice, 895
5, nice, 896
5, nice, 897
5, nice, 898
5, nice, 899
5, nice, 900
5, nice, 901
5, nice, 901
5, nice, 902
5, nice, 903
5, nice, 904
5, nice, 905
5, nice, 906
5, nice, 907
5, nice, 908
5, nice, 909
5, nice, 910
5, nice, 911
5, nice, 912
5, nice, 913
5, nice, 914
5, nice, 915
5, nice, 916
5, nice, 917
5, nice, 918
5, nice, 919
5, nice, 920
5, nice, 921
5, nice, 922
5, nice, 923
5, nice, 924
5, nice, 925
5, nice, 926
5, nice, 927
5, nice, 928
5, nice, 929
5, nice, 930
5, nice, 931
5, nice, 932
5, nice, 933
5, nice, 934
5, nice, 935
5, nice, 936
5, nice, 937
5, nice, 938
5, nice, 939
5, nice, 940
5, nice, 941
5, nice, 941
4, nice, 944
5, nice, 944
6, nice, 947
6, nice, 948
6, nice, 948
6, nice, 949
6, nice, 950
6, nice, 951
6, nice, 952
6, nice, 953
6, nice, 954
6, nice, 955
6, nice, 956
6, nice, 957
6, nice, 958
6, nice, 959
6, nice, 960
6, nice, 961
6, nice, 962
6, nice, 963
6, nice, 964
6, nice, 965
6, nice, 966
6, nice, 967
6, nice, 968
6, nice, 969
6, nice, 970
6, nice, 971
6, nice, 972
6, nice, 973
6, nice, 974
6, nice, 975
6, nice, 976
6, nice, 977
6, nice, 978
6, nice, 979
6, nice, 980
6, nice, 981
6, nice, 982
6, nice, 983
6, nice, 984
6, nice, 985
6, nice, 986
6, nice, 987
6, nice, 988
6, nice, 989
6, nice, 990
6, nice, 991
6, nice, 991
6, nice, 992
6, nice, 993
6, nice, 994
6, nice, 995
6, nice, 996
4, nice, 999
6, nice, 999
7, nice, 1001
7, nice, 1002
7, nice, 1003
7, nice, 1004
7, nice, 1005
7, nice, 1006
7, nice, 1007
7, nice, 1008
7, nice, 1009
7, nice, 1010
7, nice, 1011
7, nice, 1012
7, nice, 1013
7, nice, 1014
7, nice, 1015
7, nice, 1016
7, nice, 1017
7, nice, 1018
7, nice, 1019
7, nice, 1020
7, nice, 1021
7, nice, 1022
7, nice, 1023
7, nice, 1024
7, nice, 1025
7, nice, 1026
7, nice, 1027
7, nice, 1028
7, nice, 1029
7, nice, 1030
7, nice, 1031
7, nice, 1032
7, nice, 1033
7, nice, 1034
7, nice, 1035
7, nice, 1036
7, nice, 1037
7, nice, 1038
7, nice, 1039
7, nice, 1040
7, nice, 1040
7, nice, 1041
7, nice, 1042
7, nice, 1043
7, nice, 1044
7, nice, 1045
7, nice, 1046
7, nice, 1047
7, nice, 1048
7, nice, 1049
7, nice, 1050
7, nice, 1051
5, nice, 1053
7, nice, 1053
8, nice, 1056
8, nice, 1057
8, nice, 1058
8, nice, 1059
8, nice, 1060
8, nice, 1061
8, nice, 1062
8, nice, 1063
8, nice, 1064
8, nice, 1065
8, nice, 1066
8, nice, 1067
8, nice, 1068
8, nice, 1069
8, nice, 1070
8, nice, 1071
8, nice, 1072
8, nice, 1073
8, nice, 1074
8, nice, 1075
8, nice, 1076
8, nice, 1077
8, nice, 1078
8, nice, 1079
8, nice, 1080
8, nice, 1081
8, nice, 1082
8, nice, 1083
8, nice, 1084
8, nice, 1085
8, nice, 1085
