TID, Nice, Tick
4, 0, 469
4, 0, 469
4, 0, 469
4, 0, 469
4, 0, 469
4, 0, 469
4, 0, 469
4, 0, 470
4, 0, 471
4, 0, 472
4, 0, 473
4, 0, 474
4, 0, 475
4, 0, 476
4, 0, 477
4, 0, 478
4, 0, 479
4, 0, 480
4, 0, 481
4, 0, 481
4, 0, 482
4, 0, 483
4, 0, 484
4, 0, 485
4, 0, 486
4, 0, 487
4, 0, 488
4, 0, 489
4, 0, 490
4, 0, 491
4, 0, 492
4, 0, 493
4, 0, 494
4, 0, 495
4, 0, 496
4, 0, 497
4, 0, 498
4, 0, 499
4, 0, 500
4, 0, 501
4, 0, 502
4, 0, 503
4, 0, 504
4, 0, 504
4, 0, 505
4, 0, 506
4, 0, 507
4, 0, 508
4, 0, 509
4, 0, 510
4, 0, 511
4, 0, 512
4, 0, 513
4, 0, 515
5, 0, 517
5, 0, 518
5, 0, 519
5, 0, 520
5, 0, 521
5, 0, 522
5, 0, 523
5, 0, 524
5, 0, 525
5, 0, 526
5, 0, 527
5, 0, 528
5, 0, 529
5, 0, 530
5, 0, 531
5, 0, 532
5, 0, 532
5, 0, 533
5, 0, 534
5, 0, 535
5, 0, 536
5, 0, 537
5, 0, 538
5, 0, 539
5, 0, 540
5, 0, 541
5, 0, 542
5, 0, 543
5, 0, 544
5, 0, 545
5, 0, 546
5, 0, 547
5, 0, 548
5, 0, 549
5, 0, 550
5, 0, 551
5, 0, 552
5, 0, 553
5, 0, 554
5, 0, 555
5, 0, 556
5, 0, 557
5, 0, 557
5, 0, 558
5, 0, 559
5, 0, 560
5, 0, 561
5, 0, 562
5, 0, 563
5, 0, 564
5, 0, 565
5, 0, 566
4, 0, 568
5, 0, 568
6, 0, 571
6, 0, 572
6, 0, 573
6, 0, 574
6, 0, 575
6, 0, 576
6, 0, 577
6, 0, 578
6, 0, 579
6, 0, 580
6, 0, 581
6, 0, 582
6, 0, 583
6, 0, 584
6, 0, 585
6, 0, 586
6, 0, 586
6, 0, 587
6, 0, 588
6, 0, 589
6, 0, 590
6, 0, 591
6, 0, 592
6, 0, 593
6, 0, 594
6, 0, 595
6, 0, 596
6, 0, 597
6, 0, 598
6, 0, 599
6, 0, 600
6, 0, 601
6, 0, 602
6, 0, 603
6, 0, 604
6, 0, 605
6, 0, 606
6, 0, 607
6, 0, 608
6, 0, 609
6, 0, 609
6, 0, 610
6, 0, 611
6, 0, 612
6, 0, 613
6, 0, 614
6, 0, 615
6, 0, 616
6, 0, 617
6, 0, 618
6, 0, 619
6, 0, 620
4, 0, 622
6, 0, 623
7, 0, 625
7, 0, 626
7, 0, 627
7, 0, 628
7, 0, 629
7, 0, 630
7, 0, 631
7, 0, 632
7, 0, 633
7, 0, 634
7, 0, 635
7, 0, 635
7, 0, 636
7, 0, 637
7, 0, 638
7, 0, 639
7, 0, 640
7, 0, 641
7, 0, 642
7, 0, 643
7, 0, 644
7, 0, 645
7, 0, 646
7, 0, 647
7, 0, 648
7, 0, 649
7, 0, 650
7, 0, 651
7, 0, 652
7, 0, 653
7, 0, 654
7, 0, 655
7, 0, 656
7, 0, 657
7, 0, 657
7, 0, 658
7, 0, 659
7, 0, 660
7, 0, 661
7, 0, 662
7, 0, 663
7, 0, 664
7, 0, 665
7, 0, 666
7, 0, 667
7, 0, 668
7, 0, 669
7, 0, 670
7, 0, 671
7, 0, 672
7, 0, 673
7, 0, 674
5, 0, 676
7, 0, 677
8, 0, 679
8, 0, 680
8, 0, 681
8, 0, 682
8, 0, 682
8, 0, 683
8, 0, 684
8, 0, 685
8, 0, 686
8, 0, 687
8, 0, 688
8, 0, 689
8, 0, 690
8, 0, 691
8, 0, 692
8, 0, 693
8, 0, 694
8, 0, 695
8, 0, 696
8, 0, 697
8, 0, 698
8, 0, 699
8, 0, 700
8, 0, 701
8, 0, 702
8, 0, 703
8, 0, 704
8, 0, 704
8, 0, 705
8, 0, 706
8, 0, 707
8, 0, 708
8, 0, 709
8, 0, 710
8, 0, 711
8, 0, 712
8, 0, 713
8, 0, 714
8, 0, 715
8, 0, 716
8, 0, 717
8, 0, 718
8, 0, 719
8, 0, 720
8, 0, 721
8, 0, 722
8, 0, 723
8, 0, 724
8, 0, 725
8, 0, 725
8, 0, 726
8, 0, 727
4, 0, 729
8, 0, 730
9, 0, 732
9, 0, 733
9, 0, 734
9, 0, 735
9, 0, 736
9, 0, 737
9, 0, 738
9, 0, 739
9, 0, 740
9, 0, 741
9, 0, 742
9, 0, 743
9, 0, 744
